Symbol,Entry Date,Exit Date,Shares,Entry Price,Exit Price,Exit Reason,PnL %,PnL,Cash
QQQ,2023-02-03,2023-02-22,41,306.18,292.69,STOP_LOSS,-4.41,-553.09,56088.16
META,2023-02-03,2023-02-17,34,186.53,170.33,STOP_LOSS,-8.68,-550.8,55537.36
TSLA,2023-02-09,2023-03-08,22,207.32,183.03,STOP_LOSS,-11.72,-534.38,55002.98
SPY,2023-03-03,2023-03-09,50,404.19,393.33,STOP_LOSS,-2.69,-543.0,54459.98
QQQ,2023-03-03,2023-03-10,50,299.68,288.86,STOP_LOSS,-3.61,-541.0,53918.98
AMD,2023-03-16,2023-04-17,68,96.6,88.7,STOP_LOSS,-8.18,-537.2,53381.78
TSLA,2023-03-31,2023-04-04,31,207.46,190.42,STOP_LOSS,-8.21,-528.24,52853.54
AMD,2023-05-02,2023-05-03,96,89.91,84.41,STOP_LOSS,-6.12,-528.0,52325.54
AMD,2023-05-31,2023-06-23,48,118.21,107.48,STOP_LOSS,-9.07,-515.04,51810.5
QQQ,2023-06-16,2023-08-18,48,367.93,357.34,STOP_LOSS,-2.88,-508.32,51302.18
MSFT,2023-06-16,2023-07-10,36,342.33,328.32,STOP_LOSS,-4.09,-504.36,50797.82
TSLA,2023-06-21,2023-08-14,22,259.46,237.11,STOP_LOSS,-8.61,-491.7,50306.12
AAPL,2023-07-10,2023-08-04,92,188.61,183.16,STOP_LOSS,-2.89,-501.4,49804.72
AMD,2023-07-14,2023-08-02,65,115.94,108.28,STOP_LOSS,-6.61,-497.9,49306.82
NVDA,2023-07-14,2023-08-09,166,45.47,42.5,STOP_LOSS,-6.53,-493.02,48813.8
AMZN,2023-07-18,2023-07-26,89,132.83,127.38,STOP_LOSS,-4.1,-485.05,48328.75
MSFT,2023-07-19,2023-07-26,29,355.08,338.78,STOP_LOSS,-4.59,-472.7,47856.05
META,2023-07-26,2023-08-18,26,298.57,280.28,STOP_LOSS,-6.13,-475.54,47380.51
SPY,2023-07-26,2023-08-03,69,455.51,448.73,STOP_LOSS,-1.49,-467.82,46912.69
GOOGL,2023-07-27,2023-10-26,62,129.4,121.89,STOP_LOSS,-5.8,-465.62,46447.07
AMZN,2023-08-04,2023-08-18,55,139.57,131.19,STOP_LOSS,-6.01,-460.9,45986.17
AMD,2023-08-04,2023-08-14,46,115.82,105.94,STOP_LOSS,-8.53,-454.48,45531.69
NVDA,2023-08-21,2023-09-18,117,46.97,43.09,STOP_LOSS,-8.24,-453.96,45077.73
SPY,2023-08-29,2023-09-20,42,449.16,438.62,STOP_LOSS,-2.35,-442.68,44635.05
QQQ,2023-08-29,2023-09-21,36,374.77,362.47,STOP_LOSS,-3.28,-442.8,44192.25
META,2023-08-29,2023-10-26,24,297.99,280.02,STOP_LOSS,-6.03,-431.28,43760.97
AMZN,2023-08-31,2023-09-21,76,138.01,132.29,STOP_LOSS,-4.15,-434.72,43326.25
